site,treatment,rep,species,season,devil_age,first_consumption,day_remove,visH.5,contactH.5far,cancov,first_detection,discover,sec_initiate,devil_detections,devil_foraging_photos,devil_poa,first_species,first
R,S,4,Tasmanian devil,summer,adult,2/12/2023 9:33,6,21.875,9,33.14,69.56583333,2/12/2023 9:33,0,9,1564,1,Tasmanian devil,1
R,S,4,Tasmanian devil,winter,adult,8/11/2022 0:00,8,21.875,10.5,34.9,156.0058333,8/11/2022 0:00,0,6,327,1,Tasmanian devil,1
R,S,5,Spotted-tailed quoll,summer,NA,2/14/2023 11:59,7,0,17,22.1,119.9927778,2/14/2023 11:59,0,11,4076,1,Tasmanian devil,0
R,S,5,Spotted-tailed quoll,winter,NA,8/11/2022 18:45,10,18.75,20,44.63,174.7505556,8/11/2022 18:45,0,2,11,1,Tasmanian devil,0
R,S,5,Tasmanian devil,summer,adult,2/10/2023 9:38,7,0,17,22.1,21.63555556,2/10/2023 9:38,0,11,4076,1,Tasmanian devil,1
R,S,5,Tasmanian devil,winter,adult,8/11/2022 2:57,10,18.75,20,44.63,158.9544444,8/11/2022 2:57,0,2,11,1,Tasmanian devil,1
R,S,6,Tasmanian devil,summer,adult,2/12/2023 3:40,4,28.125,7,36.24,63.68138889,2/12/2023 3:40,0,10,2222,1,Tasmanian devil,1
T,E,1,Spotted-tailed quoll,winter,NA,8/4/2022 22:31,3.5,28.125,6.5,32.73,47.68194444,8/4/2022 11:40,39012,17,125,1,Spotted-tailed quoll,1
T,E,1,Tasmanian devil,winter,adult,8/5/2022 21:36,3.5,28.125,6.5,32.73,81.60166667,8/5/2022 21:36,0,17,125,1,Spotted-tailed quoll,0
T,E,2,Spotted-tailed quoll,summer,NA,2/12/2023 19:47,5,29.6875,14,29.28,79.79583333,2/12/2023 19:47,0,31,2244,1,Spotted-tailed quoll,1
T,E,2,Tasmanian devil,summer,juvenile,2/13/2023 0:28,5,29.6875,14,29.28,84.4675,2/13/2023 0:28,0,31,2244,1,Spotted-tailed quoll,0
T,E,2,Tasmanian devil,winter,adult,8/6/2022 0:42,9.5,21.875,23,34.71,82.785,8/5/2022 22:47,6932,2,94,1,Tasmanian devil,1
T,E,3,Tasmanian devil,summer,juvenile,2/12/2023 3:06,5,15.625,7,75.28,22.53416667,2/10/2023 10:32,146043,22,1330,1,Tasmanian devil,1
T,E,3,Tasmanian devil,winter,adult,8/23/2022 5:30,26,23.4375,3.5,72.46,83.25472222,8/5/2022 23:15,1491311,21,97,1,Tasmanian devil,1
T,E,4,Spotted-tailed quoll,summer,NA,2/12/2023 4:53,8,28.125,0,25.51,64.89833333,2/12/2023 4:53,0,13,973,1,Tasmanian devil,0
T,E,4,Spotted-tailed quoll,winter,NA,8/10/2022 2:47,7,70.3125,4,38.9,182.7877778,8/10/2022 2:47,0,8,264,1,Tasmanian devil,0
T,E,4,Tasmanian devil,summer,juvenile,2/14/2023 5:39,8,28.125,0,25.51,46.68833333,2/11/2023 10:41,241072,13,973,1,Tasmanian devil,1
T,E,4,Tasmanian devil,winter,adult,8/10/2022 5:59,7,70.3125,4,38.9,160.4063889,8/9/2022 4:24,92085,8,264,1,Tasmanian devil,1
T,E,5,Tasmanian devil,summer,juvenile,2/18/2023 9:12,9,60.9375,6,25.54,71.48166667,2/12/2023 11:28,510201,13,731,1,Tasmanian devil,1
T,E,5,Tasmanian devil,winter,adult,8/9/2022 2:37,26,35.9375,2,24.49,158.6308333,8/9/2022 2:37,0,3,25,1,Tasmanian devil,1
T,E,6,Tasmanian devil,summer,juvenile,2/28/2023 5:41,20,62.5,8,72.85,22.10166667,2/10/2023 10:06,1539349,9,97,1,Tasmanian devil,1
T,E,6,Tasmanian devil,winter,adult,8/18/2022 4:03,26,34.375,10,36.39,376.0566667,8/18/2022 4:03,0,2,32,1,Tasmanian devil,1
T,S,1,Tasmanian devil,winter,adult,8/5/2022 19:15,8,17.1875,3,37.29,79.26638889,8/5/2022 19:15,0,12,45,1,Tasmanian devil,1
T,S,2,Tasmanian devil,summer,juvenile,2/11/2023 9:51,4,18.75,17.5,26.42,45.8575,2/11/2023 9:51,0,22,4953,1,Tasmanian devil,1
T,S,2,Tasmanian devil,winter,adult,8/10/2022 6:18,13.5,15.625,19.5,39.24,186.3002778,8/10/2022 6:18,0,10,80,1,Tasmanian devil,1
T,S,3,Tasmanian devil,summer,juvenile,2/10/2023 4:24,2,29.6875,6,29.21,16.41444444,2/10/2023 4:24,0,9,6520,1,Tasmanian devil,1
T,S,3,Tasmanian devil,winter,adult,8/4/2022 5:29,2.5,43.75,6,34.35,41.48361111,8/4/2022 5:29,0,11,14,1,Tasmanian devil,1
T,S,4,Tasmanian devil,summer,adult,2/11/2023 6:58,2,14.0625,15,33.83,42.97333333,2/11/2023 6:58,0,5,1132,1,Tasmanian devil,1
T,S,5,Spotted-tailed quoll,summer,NA,2/10/2023 18:17,3,48.4375,2,75.79,30.29777778,2/10/2023 18:17,0,12,959,1,Spotted-tailed quoll,1
T,S,5,Tasmanian devil,summer,adult,2/12/2023 3:51,3,48.4375,2,75.79,30.32166667,2/10/2023 18:19,120705,12,959,1,Spotted-tailed quoll,0
T,S,6,Tasmanian devil,summer,NA,2/15/2023 6:50,19,60.9375,6.5,27.83,138.8494444,2/15/2023 6:50,0,5,35,1,Tasmanian devil,1
T,S,6,Tasmanian devil,winter,adult,8/26/2022 3:31,25,45.3125,9,27.97,567.5305556,8/26/2022 3:31,0,3,86,1,Tasmanian devil,1
